11|D. Catarina de Bragança Statue||D. Catarina de Bragança, Princess of Portugal and Queen of England, introduced cutlery, the five o'clock tea, orange jelly, among other things, in a country where she had to show a strong personality, keeping into account the fact that she was a migrant/foreigner. There is a statue of her, in the Parque das Nações, in Lisbon.|Gender;;Art||||||||||||user1||user2;;user4|true|3||
12|Anjos||This photo was taken near the metro station of Angels (\"Anjos\"). I think that they set up the lanterns to celebrate the Chinese New Year.|Architecture||||||||||||user3||user2;;user4|true|3||
13|Vasco da Gama||A very busy place, it has access to trams, the metro and buses.|Architecture||||||||||||user3||user7|true|3||
14|Market Square||One of the biggest squares in Europe.|Architecture||||||||||||user3||user7|true|3||
15|Vasco da Gama Bridge||Built in 1998, it connects Montijo with the greater Lisbon.|Architecture||||||||||||user3||user7|true|3||
16|Museu de Arte, Arquitetura e Tecnologia||Founded in 2016, it combines three areas into one space|Museum;;Architecture||||||||||||user3||user4|true|3||
17|Jerónimos Monastery||Built during the 16th century, to celebrate the return of Vasco de Gama. It was declared a World Heritage Site (\"Património da Humanidade\") by Unesco in 1983.|Historic event;;Architecture||||||||||||user3||user2;;user4|true|3||
18|Life is an art||When I see a place of art (\"casa de arte\"), I see the beginning of a life, a liquid art, I see freedom for expressing what is inside me, what runs in my veins.|Art||||||||||||user4||user1|true|3||
19|Belém beyond: courage, faith and strength||A structure that transmits calm, inner peace and higher tranquility. Tourist's place, but many do not know its true history|Historic event;;Architecture||||||||||||user4||user1|true|3||
20|With a fight everything is possible||I see sacrifice, sadness, perseverance and most of all, hard work from those who are already gone and did everything at their disposal to maintain this country's peace.|Historic event||||||||||||user4||user1|true|3||
21|Continuity and Persistence||I see a touristic site in which happiness, peace, tranquillity and lots of harmony reigns. A place where much blood was spilled, but today it is turned into a stage for attention and much amusement.|Historic event||||||||||||user4|||true|3||
22|Liberty and Resilience||Motivation to continue the fight, memorable sculpture and of much respect. Space for much recreation and much tranquility.|Art||||||||||||user4|||true|3||
23|Liberty and Life||Very pleasant place, where there is an agglomeration of ; people from all over the world, enjoyment and all that a charming space can offer.|Architecture||||||||||||user4|||true|3||
24|My street||I have been living here for three years, for this reason this is really my home. The street is full of buildings and there are always cars, for this reason, it is quite busy and noisy but I like it.|Life event||||||||||||user5|||true|3||
25|Faculty of Letters||When I got into the university it was one of the best moments of my life. Education edificates you.|Life event||||||||||||user5|||true|3||
26|Daily trips||Everyday I use the metro to move around, it is part of my life.|Life event||||||||||||user5||user8|true|3||
27|Chiado||During secondary school's field trips we used to go to the shops (\"armazéns\") a lot.|tags||||||||||||user5||user8|true|3||
28|25th April Bridge||When I was in kindergarten in the summer, we would cross the bridge everyday to go to the beach.|Life event||||||||||||user5|||true|3||
29|Untitled||...|||||||||||||user5|||true|3||
30|title||text|tags||||||||||||user6||user2;;user4|true|3||
